H040308540009K753V2   033747  BVTI_00160403085420180722205409.DAT 0016B01112    
D000001G00120000000020180722203610          00000000000000000000000000000000000000000                                00000000C000000000000                              000000000000000000000000                        00000030002018071301000000000000                D  000                                                                                
D000002E00120042004220180722203635A20000000000000000001200000000001200000000000000009916D0A5DAB8804004325C3F900040C0F00020600C00000000000020180722202207085400160012000C000000000000000010000000201807221970010120191031000000000000000205210000000052008184002008913922D00000000                                  1                                 C7CC3B0A 
D000003A00120042000020180722203635A20000000000000000001000000000001000000000000000009916D0A5DAB8804004325C3F900040C0F00020700C00000000000020180722203635085400160012000C000000000000000010000000201807221970010120191031000000000000000207210000000040008184002008913922D00000000                                  1                                 BEF84E3E 
D000004E00120028002820180722203742A100000000000000000012000000000012000000000000000093AAB8CE1FC880400475975905910160800238200C00000000000020180722202534085400160012000C000000000000000009000000201807221970010119700101000000000000002381210000000064008184002008913922D00000000                                  1                                 F313C1A6 
D000005A00120028000020180722203742A100000000000000000012000000000012000000000000000093AAB8CE1FC880400475975905910160800238300C00000000000020180722203742085400160012000C000000000000000009000000201807221970010119700101000000000000002383210000000052008184002008913922D00000000                                  1                                 338DDE87 
D000006E00120026002620180722203836A100000000200000000012000000000012000000000000000096A3742D0CF880400475944115900340700928600C00000000000020180722202530085400160012000C000000000000000024000000201807221970010119700101000000000000009285210000001411008184002008913922D00000000                                  1                                 F2B3E608 
D000007A00120026000020180722203837A100000000200000000000000000000012000000000000000096A3742D0CF880400475944115900340700928700C00000000000020180722203836085400160012000C000000012000000024000000201807221970010119700101000000000000009287210000001399008184002008913922D00000000                                  1                                 686D33B3 
D000008A00120026000020180722204415A10000000000000000001200000000001200000000000000009E746D34436880400432833990001020800139200C00000000000020180720211553085400160012000C000000000000000000000000201807221970010119700101000000000000001392210000000110008184001156913922D00000000                                  0                                 CD706F07 
D000009A00120026000020180722204417A2000000002000000000000000000000120000000000000000982C3D00091880400C80100200000001500030500C00000000000020180722193153141300160012000C000000012000000024000000201807221970010119700101000000000000000305210000000037008184001156913922D00000000                                  0                                 80125E28 
D000010A00120026000020180722204419A20000000020000000000000000000001200000000000000009F5ADCE8D1B8804004327A4D400100B0700019200C00000000000020180722193155141300160012000C000000012000000024000000201807221970010119700101000000000000000192210000000039008184001156913922D00000000                                  0                                 97D429BF 
D000011800120026000020180722204421A1000000000000000000000000000000120000000000000000952FE600BC7880400C82700200000001700053400C00000000000020180722131951141300160012000C000000012000000000000000        1970010119700101000000000000000534210000000168008184001156913922T0B000000                                  0                                 0EF61F31 
D000012A00120026000020180722204423A4000800030000000000060000000000060000000000000000971FF454B808804004325BD2700040B0F00123600C00000000000020180722165223042300130408000C000000000000000170000330201807121970010120460831000000000000001236210000000085008184001156913922D00000000                                  0                                 8536A59D 
T7ABAB3BC                                          0000120000007600             
